Reviewed For different PR Authors,Total PRs Reviewed by majestic-owl448 since 2026-02-01,Total Code Review Comments,Total PR Issue Comments,Total PR Review Comments,Total All Comments Made,PR# List
Yachna-123,1,0,0,1,1,[67660]
santiyorio,1,0,1,0,1,[67648]
Rehan-M-395,1,0,0,0,0,[67647]
Nithin0620,1,0,0,0,0,[67624]
GandotraDiya,1,1,0,1,2,[67607]
adul11s,1,0,1,0,1,[67603]
HAWKZ4,1,0,1,1,2,[67558]
divy-dawda,1,0,0,0,0,[67542]
Barreratomas,1,0,0,0,0,[67539]
Baisayan,1,0,0,0,0,[67533]
imayuss,1,0,1,0,1,[67532]
deb2000-sudo,1,0,0,0,0,[67531]
shreesakhi-ch,1,1,0,1,2,[67529]
bindpratapsingh,1,0,0,0,0,[67527]
jdwilkin4,2,1,0,0,1,"[66343, 67513]"
priyanshupundir,1,0,0,0,0,[67467]
narasimhan-lakshmi,3,5,0,3,8,"[67424, 67426, 67441]"
HarshMangaraj,1,0,0,0,0,[67414]
vinodM09,1,0,0,0,0,[67406]
HritikKaushik,2,0,0,0,0,"[67360, 67361]"
MukundaKatta,1,0,0,0,0,[67330]
PaperCodeGithub,1,0,0,0,0,[67328]
atharv96k,1,0,0,0,0,[67325]
Jeevankumar-s,16,47,7,38,92,"[65666, 65686, 65739, 65748, 65752, 65841, 65856, 65876, 65884, 65885, 65899, 65924, 65927, 65980, 66140, 67159]"
AyushK5ingh,3,1,4,1,6,"[66965, 67044, 67055]"
ohchanwu,1,0,0,0,0,[66981]
lakshay122007,1,2,0,1,3,[66937]
Umesh-Tiruvalluru,1,1,0,4,5,[66890]
KadamPrasad01,1,0,0,0,0,[66526]
p-rhodes,1,0,0,0,0,[66474]
Harshithk951,1,0,0,1,1,[66458]
shOumik-saha,1,0,0,0,0,[66417]
octavio-js,2,2,3,2,7,"[66398, 66399]"
ragini-pandey,4,4,2,4,10,"[65642, 66027, 66070, 66355]"
Julien-Desbard,1,0,0,0,0,[66351]
larymak,1,2,0,1,3,[66269]
ekwak47,1,0,0,0,0,[66265]
zairahira,5,37,3,9,49,"[65778, 66007, 66250, 66255, 66256]"
Anshit-Sony,1,0,0,0,0,[66236]
Fixito,1,0,0,2,2,[66235]
phoenix66666,1,0,0,0,0,[66232]
abhishekDeshmukh74,1,0,0,0,0,[66216]
LGH831,1,22,4,7,33,[66197]
PrafulVRaj,1,0,0,0,0,[66149]
gangulysiddhartha22-cmyk,1,0,0,0,0,[66143]
a2937,2,1,0,1,2,"[65879, 66132]"
imsanupm,1,2,1,2,5,[66130]
ash-win19,1,2,5,2,9,[66124]
cesarinsalad,1,0,0,0,0,[66122]
iAakash1,1,0,0,2,2,[66116]
lockinginfor2026-arch,1,0,1,0,1,[66113]
thefool309,1,0,0,0,0,[66112]
Aryankpoor,1,0,0,0,0,[66082]
jordantrent,1,0,0,0,0,[66080]
MostafaElsehy,1,0,0,0,0,[66004]
CaliYost,1,0,3,0,3,[65948]
shubham-t-rai,1,0,0,0,0,[65945]
